"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"5ID23HWN","journalArticle","2015","Konstan, Joseph A.; Walker, J. D.; Brooks, D. Christopher; Brown, Keith; Ekstrand, Michael D.","Teaching Recommender Systems at Large Scale: Evaluation and Lessons Learned from a Hybrid MOOC","ACM Trans. Comput.-Hum. Interact.","","1073-0516","10.1145/2728171","http://doi.acm.org/10.1145/2728171","","2015-04","2017-09-14 16:00:48","2017-09-14 16:00:48","2016-09-03 20:38:02","10:1–10:23","","2","22","","","Teaching Recommender Systems at Large Scale","","","","","","","","","","","","ACM Digital Library","","","<p>Introduction to Recommender System</p> <p>online course and 3-credit course</p> <p>Research Goals:</p> <ul> <li>Do students learn in MOOC? <ul> <li>    72.5% completed</li> </ul> </li> <li>Do students learn better than when they use MOOC?</li> </ul> <p>Results:</p> <ul> <li>Intention predicts completion</li> <li>student knowledge increased</li> <li>limited data suggests that face-to-face students learned at least as much as online-only students</li> <li>students benefited similarly</li> <li>programming students gained better knowledge</li> <li></li> </ul>","","","","learning assessment; Massively Online Open Course (MOOC)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5SLAYFM2","book","2015","Matsuda, Noboru; Furukawa, Tadanobu; Bier, Norman; Faloutsos, Christos","Machine Beats Experts: Automatic Discovery of Skill Models for Data-Driven Online Course Refinement","","","","","http://eric.ed.gov/?id=ED560513","How can we automatically determine which skills must be mastered for the successful completion of an online course? Large-scale online courses (e.g., MOOCs) often contain a broad range of contents frequently intended to be a semester's worth of materials; this breadth often makes it difficult to articulate an accurate set of skills and knowledge (i.e., a skill model, or the QMatrix). We have developed an innovative method to discover skill models from the data of online courses. Our method assumes that online courses have a pre-defined skill map for which skills are associated with formative assessment items embedded throughout the online course. Our method carefully exploits correlations between various parts of student performance, as well as in the text of assessment items, to build a superior statistical model that even outperforms human experts. To evaluate our method, we compare our method with existing methods (LFA) and human engineered skill models on three Open Learning Initiative (OLI) courses at Carnegie Mellon University. The results show that (1) our method outperforms human-engineered skill models, (2) skill models discovered by our method are interpretable, and (3) our method is remarkably faster than existing methods. These results suggest that our method provides a significant contribution to the evidence-based, iterative refinement of online courses with a promising scalability. [For complete proceedings, see ED560503.]","2015-06","2017-09-14 16:00:49","2017-09-14 16:00:49","2016-09-03 20:48:57","","","","","","","Machine Beats Experts","","","","","International Educational Data Mining Society","","en","","","","","ERIC","","","<div class=""page"" title=""Page 1""> <div class=""layoutArea""> <div class=""column""> <p><span style=""font-size: 9.000000pt; font-family: 'TimesNewRomanPSMT'; color: rgb(0.392200%, 0.784300%, 0.784300%);"">How can we automatically determine which skills must be mastered for the successful completion of an online course?</span></p> <p><span style=""font-size: 9.000000pt; font-family: 'TimesNewRomanPSMT'; color: rgb(0.392200%, 0.784300%, 0.784300%);"">Method: eEPIPHANY </span></p> <p><span style=""font-size: 9.000000pt; font-family: 'TimesNewRomanPSMT'; color: rgb(0.392200%, 0.784300%, 0.784300%);"">Feature extraction:</span></p> <p><span style=""font-size: 9.000000pt; font-family: 'TimesNewRomanPSMT'; color: rgb(0.392200%, 0.784300%, 0.784300%);"">1. Matrix factorization strategy</span></p> <p><span style=""font-size: 9.000000pt; font-family: 'TimesNewRomanPSMT'; color: rgb(0.392200%, 0.784300%, 0.784300%);"">2. Bag-of-words strategy</span></p> <p><span style=""font-size: 9.000000pt; font-family: 'TimesNewRomanPSMT'; color: rgb(0.392200%, 0.784300%, 0.784300%);"">Skill-model construction</span></p> <p><span style=""font-size: 9.000000pt; font-family: 'TimesNewRomanPSMT'; color: rgb(0.392200%, 0.784300%, 0.784300%);"">1. replace strategy</span></p> <p><span style=""font-size: 9.000000pt; font-family: 'TimesNewRomanPSMT'; color: rgb(0.392200%, 0.784300%, 0.784300%);"">2. Append strategy</span></p> <p><span style=""font-size: 9.000000pt; font-family: 'TimesNewRomanPSMT'; color: rgb(0.392200%, 0.784300%, 0.784300%);"">3. Split strategy</span></p> Conclusion: <span style=""font-size: 9.000000pt; font-family: 'TimesNewRomanPSMT'; color: rgb(0.392200%, 0.784300%, 0.784300%);"">eEPIPHANY </span>is an efficient model to automatically discover skill models from online course data without human interaction.<br /> <p> </p> </div> </div> </div>","","http://eric.ed.gov/?id=ED560513","","data; Automation; Comparative Analysis; Correlation; Formative Evaluation; models; Online Courses; Skills","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CSAFGFCC","bookSection","2016","Hanneman, R.A.; Riddle, M.","Chapter 1: Social Network Data","Introduction to Social Network Methods","","","","http://faculty.ucr.edu/~hanneman/nettext/C1_Social_Network_Data.html","","2016-01-18","2017-09-14 16:00:49","2017-09-14 16:00:49","2016-01-18 20:17:24","","","","","","","","","","","","","","","","","","","","","","<ul> <li><span style=""color: #000000; font-family: Arial; font-size: medium; font-style: normal; font-variant-caps: normal; font-weight: normal; letter-spacing: normal; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; word-spacing: 0px; -moz-text-size-adjust: auto; -webkit-text-stroke-width: 0px; background-color: #ffffff; display: inline !important; float: none;""><span style=""text-decoration: underline;""><strong>What is network data:</strong></span> ""Network"" data (in their purest form) consist of a square array of measurements. The rows of the array are the cases, or subjects, or observations. The columns of the array are -- and note the key difference from conventional data -- the same set of cases, subjects, or observations. In each cell of the array describes a relationship between the actors.</span></li> <li><span style=""color: #000000; font-family: Arial; font-size: medium; font-style: normal; font-variant-caps: normal; font-weight: normal; letter-spacing: normal; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; word-spacing: 0px; -moz-text-size-adjust: auto; -webkit-text-stroke-width: 0px; background-color: #ffffff; display: inline !important; float: none;"">nodes</span></li> <li><span style=""color: #000000; font-family: Arial; font-size: medium; font-style: normal; font-variant-caps: normal; font-weight: normal; letter-spacing: normal; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; word-spacing: 0px; -moz-text-size-adjust: auto; -webkit-text-stroke-width: 0px; background-color: #ffffff; display: inline !important; float: none;"">population, samples and boundaries</span></li> <li><span style=""color: #000000; font-family: Arial; font-size: medium; font-style: normal; font-variant-caps: normal; font-weight: normal; letter-spacing: normal; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; word-spacing: 0px; -moz-text-size-adjust: auto; -webkit-text-stroke-width: 0px; background-color: #ffffff; display: inline !important; float: none;"">modality and levels of analysis</span></li> <li><span style=""color: #000000; font-family: Arial; font-size: medium; font-style: normal; font-variant-caps: normal; font-weight: normal; letter-spacing: normal; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; word-spacing: 0px; -moz-text-size-adjust: auto; -webkit-text-stroke-width: 0px; background-color: #ffffff; display: inline !important; float: none;"">relations</span></li> <li><span style=""color: #000000; font-family: Arial; font-size: medium; font-style: normal; font-variant-caps: normal; font-weight: normal; letter-spacing: normal; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; word-spacing: 0px; -moz-text-size-adjust: auto; -webkit-text-stroke-width: 0px; background-color: #ffffff; display: inline !important; float: none;"">sampling ties</span> <ul> <li><span style=""color: #000000; font-family: Arial; font-size: medium; font-style: normal; font-variant-caps: normal; font-weight: normal; letter-spacing: normal; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; word-spacing: 0px; -moz-text-size-adjust: auto; -webkit-text-stroke-width: 0px; background-color: #ffffff; display: inline !important; float: none;"">full network methods</span></li> <li><span style=""color: #000000; font-family: Arial; font-size: medium; font-style: normal; font-variant-caps: normal; font-weight: normal; letter-spacing: normal; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; word-spacing: 0px; -moz-text-size-adjust: auto; -webkit-text-stroke-width: 0px; background-color: #ffffff; display: inline !important; float: none;"">snowball methods</span></li> <li><span style=""color: #000000; font-family: Arial; font-size: medium; font-style: normal; font-variant-caps: normal; font-weight: normal; letter-spacing: normal; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; word-spacing: 0px; -moz-text-size-adjust: auto; -webkit-text-stroke-width: 0px; background-color: #ffffff; display: inline !important; float: none;"">ego-centric networks(with alter connections)</span></li> <li><span style=""color: #000000; font-family: Arial; font-size: medium; font-style: normal; font-variant-caps: normal; font-weight: normal; letter-spacing: normal; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; word-spacing: 0px; -moz-text-size-adjust: auto; -webkit-text-stroke-width: 0px; background-color: #ffffff; display: inline !important; float: none;"">ego only</span></li> </ul> </li> <li><span style=""color: #000000; font-family: Arial; font-size: medium; font-style: normal; font-variant-caps: normal; font-weight: normal; letter-spacing: normal; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; word-spacing: 0px; -moz-text-size-adjust: auto; -webkit-text-stroke-width: 0px; background-color: #ffffff; display: inline !important; float: none;"">Scales of measurement</span> <ul> <li><span style=""color: #000000; font-family: Arial; font-size: medium; font-style: normal; font-variant-caps: normal; font-weight: normal; letter-spacing: normal; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; word-spacing: 0px; -moz-text-size-adjust: auto; -webkit-text-stroke-width: 0px; background-color: #ffffff; display: inline !important; float: none;"">binary measures of relations</span></li> <li><span style=""color: #000000; font-family: Arial; font-size: medium; font-style: normal; font-variant-caps: normal; font-weight: normal; letter-spacing: normal; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; word-spacing: 0px; -moz-text-size-adjust: auto; -webkit-text-stroke-width: 0px; background-color: #ffffff; display: inline !important; float: none;"">multiple-category nominal measures of relations</span></li> <li><span style=""color: #000000; font-family: Arial; font-size: medium; font-style: normal; font-variant-caps: normal; font-weight: normal; letter-spacing: normal; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; word-spacing: 0px; -moz-text-size-adjust: auto; -webkit-text-stroke-width: 0px; background-color: #ffffff; display: inline !important; float: none;"">grouped ordinal measures of relations</span></li> <li><span style=""color: #000000; font-family: Arial; font-size: medium; font-style: normal; font-variant-caps: normal; font-weight: normal; letter-spacing: normal; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; word-spacing: 0px; -moz-text-size-adjust: auto; -webkit-text-stroke-width: 0px; background-color: #ffffff; display: inline !important; float: none;"">full-rank ordinal measures of relations</span></li> <li><span style=""color: #000000; font-family: Arial; font-size: medium; font-style: normal; font-variant-caps: normal; font-weight: normal; letter-spacing: normal; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; word-spacing: 0px; -moz-text-size-adjust: auto; -webkit-text-stroke-width: 0px; background-color: #ffffff; display: inline !important; float: none;"">interval measures of relations</span></li> <li></li> </ul> </li> </ul>","","http://faculty.ucr.edu/~hanneman/nettext/C1_Social_Network_Data.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"355ALP9L","bookSection","2017","Klerkx, Joris; Verbert, Katrien; Duval, Erik","Learning Analytics Dashboards","The Handbook of Learning Analytics","978-0-9952408-0-3","","","www.solaresearch.org","","2017","2017-09-14 16:00:49","2017-09-14 16:00:49","","","","","","","","","","","","","","Vancouver, BC, Canada","EN","","","","","","","","<div class=""page"" title=""Page 1""> <div class=""section""> <div class=""layoutArea""> <div class=""column""> <p><span style=""font-size: 9.000000pt; font-family: 'Lora';"">1. What kind of data can be visualized?</span></p> <ul> <li><span style=""font-size: 9.000000pt; font-family: 'Lora'; font-style: italic;"">Artefacts produced </span><span style=""font-size: 9.000000pt; font-family: 'Lora';"">by learners, including blog posts, shared documents, software, and other artefacts that would often end up in a student project portfolio.</span></li> <li><span style=""font-size: 9.000000pt; font-family: 'Lora'; font-style: italic;"">Social interaction</span><span style=""font-size: 9.000000pt; font-family: 'Lora';"">, including speech in face-to-face group work, blog comments, Twitter or discussion forum interactions.</span></li> <li><span style=""font-size: 9.000000pt; font-family: 'Lora'; font-style: italic;"">Resource use </span><span style=""font-size: 9.000000pt; font-family: 'Lora';""><span style=""font-size: 9.000000pt; font-family: 'Lora';"">can include consultation of documents (manuals, web pages, slides), views of videos, et </span></span><span style=""font-size: 9.000000pt; font-family: 'Lora';"">cetera. Techniques like software trackers and eye-tracking can provide detailed information </span> <span style=""font-size: 9.000000pt; font-family: 'Lora';"">used and how. </span></li> <li><span style=""font-size: 9.000000pt; font-family: 'Lora'; font-style: italic;"">Time spent </span><span style=""font-size: 9.000000pt; font-family: 'Lora';"">can be useful for teachers to identify students at risk and for students to compare their own efforts with those of their peers</span></li> <li><span style=""font-size: 9.000000pt; font-family: 'Lora'; font-style: italic;"">Test and self-assessment </span><span style=""font-size: 9.000000pt; font-family: 'Lora';"">results can provide an indication of learning progress. </span></li> </ul> <p><span style=""font-size: 9.000000pt; font-family: 'Lora';"">2. For whom are the visualizations intended?</span></p> <ul> <li><span style=""font-size: 9.000000pt; font-family: 'Lora';"">Think about audience before the visualization.</span></li> </ul> <p><span style=""font-size: 9.000000pt; font-family: 'Lora';"">3. How can the data be visualized?</span></p> <ul> <li><span style=""font-size: 9.000000pt; font-family: 'Lora';"">acquire and (pre-) process your data</span></li> <li><span style=""font-size: 9.000000pt; font-family: 'Lora';"">mapping design</span></li> <li><span style=""font-size: 9.000000pt; font-family: 'Lora';"">documentation</span></li> <li><span style=""font-size: 9.000000pt; font-family: 'Lora';"">evaluate continuously</span></li> </ul> </div> </div> </div> </div>","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DIA2P9KG","bookSection","2017","Bergner, Yoav","Measurement and its Uses in Learning Analytics","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","Psychological measurement is a process for making warranted claims about states of mind. As such, it typically comprises the following: de ning a construct; specifying a measurement model and (developing) a reliable instrument; analyzing and accounting for various sources of error (including operator error); and framing a valid argument for particular uses of the outcome. Measurement of latent variables is, after all, a noisy endeavor that can neverthe- less have high-stakes consequences for individuals and groups. This chapter is intended to serve as an introduction to educational and psychological measurement for practitioners in learning analytics and educational data mining. It is organized thematically rather than historically, from more conceptual material about constructs, instruments, and sources of measurement error toward increasing technical detail about particular measurement models and their uses. Some of the philosophical differences between explanatory and predictive modelling are explored toward the end.","2017","2017-09-14 16:00:49","2017-09-14 16:00:49","","34-48","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<h1>Chapter3: Measurement and its uses in learning analytics</h1> <h2><strong>1. What is measurement? Philosophy and Basic Ideas</strong></h2> <h3><strong>Construct (latent variable)</strong></h3> <p>Steven's (1994) definition of measurement: ""the assignment of numerals to objectives or events according to rules""</p> <p>Model-based reasoning means accepting a<em> simplified representation of a system</em>.</p> <p>The challenge remains to come up with useful models or useful measurement rules.</p> <p>A partial list of learning analytics:</p> <div class=""page"" title=""Page 36""> <div class=""section""> <div class=""layoutArea""> <div class=""column""> <p style=""padding-left: 30px;"">A. intelligence (e.g., the Stanford–Binet Intelligence Scale),</p> <p style=""padding-left: 30px;"">B. scholastic aptitude (e.g., that SAT test),</p> <p style=""padding-left: 30px;"">C. academic achievement (numerous examples include both large-scale tests and course exams),</p> <p style=""padding-left: 30px;"">D. personality (e.g., the “big ve” factor model; Digman, 1990),</p> <p style=""padding-left: 30px;"">E. achievement-goal orientation (e.g., Midgley et al., 2000),</p> <p style=""padding-left: 30px;"">F. achievement emotions (Pekrun, Goetz, Frenzel, Barchfeld, &amp; Perry, 2011),</p> <p style=""padding-left: 30px;"">G. grit (Duck- worth, Peterson, Matthews, &amp; Kelly, 2007),</p> <p style=""padding-left: 30px;"">H. self-theories of intelligence and xed/growth mindset (Dweck, 2000; Yeager &amp; Dweck, 2012),</p> <p style=""padding-left: 30px;"">I. intrinsic motivation (Deci &amp; Ryan, 1985; Guay, Vallerand, &amp; Blanchard, 2000),</p> <p style=""padding-left: 30px;"">J. self-regulated learning and self-ef cacy (e.g., Pintrich &amp; De Groot, 1990),</p> <p style=""padding-left: 30px;"">K. learning power (Bucking- ham Shum &amp; Deakin Crick, 2012; Crick, Broadfoot, &amp; Claxton, 2004),</p> <p style=""padding-left: 30px;"">L. crowd-sourced learning ability (Milligan &amp; Grif n, 2016).</p> <h3><strong>Measurement Instruments</strong></h3> <p>tests or questionnaires-a matter of efficiency and standardization</p> <h3><strong>Source of Error in Measurements</strong></h3> <div title=""Page 37""> <div> <div> <div> <p>People’s responses to an instrument may not faithfully re ect their abilities, attitudes, or other constructs of interest.</p> <div title=""Page 37""> <div> <div> <div> <p>The inherent non-repeatability</p> <h3><strong>Reliability-a measure of the consistency of scores<br /></strong></h3> </div> </div> </div> </div> </div> </div> </div> </div> <p>Reliability coefficient-alpha [0,1]</p> <p>Test-retest reliability</p> <p>inter-rater reliability?</p> <div title=""Page 37""> <div> <div> <div> <p>*Effort in improving the reliability of a scale can often outweigh the bene t of recruiting larger samples.</p> <h3><strong>Validity</strong></h3> <div title=""Page 37""> <div> <div> <div> <p>Validity refers to <em>the degree to which evidence and theory support the interpretations of test scores for proposed uses of tests</em> ... It is incorrect to use the unqualied phrase ‘the validity of the test’”</p> <h3><strong>Measurement Models</strong></h3> <p><strong><img src=""blob:resource://zotero/afcb7372-53a2-f240-bda9-3726730c77ae"" width=""319"" height=""179"" /></strong></p> <h2><strong>2. Specific Uses of Measurement Models in Learning Analytics</strong></h2> <h3><strong>Factor Analysis (Mulaik, 2009)</strong></h3> <p><em>Exploratory factor analysis</em><strong> (EFA)</strong>: determine the number of latent factors from data without strong theoretical assumptions and is commonly part of scale development. Requires a number of methodological decisions</p> <p><em>Principal components analysis</em><strong> (PCA): </strong>a dimensionality reduction technique, which can result in erroneous conclusions about true factor structure.</p> <div title=""Page 38""> <div> <div> <div> <p><em>Confirmatory factor analysis <strong>(CFA): </strong></em>a complementary set of techniques to test a theoretically proposed factor model by examining residuals between expected and observed correlations.Used to reject a model.</p> <h3><strong>Latent Class and Latent Mixture Models-</strong>Dedic, Rosenfeld, and Lasry (2010)</h3> </div> </div> </div> </div> <div title=""Page 39""> <div> <div> <div> <p>Dedic, Rosenfeld, and Lasry (2010) used latent class analysis to understand the distribution of physics misconceptions based on students’ wrong answers on a physics concept test.</p> <h3><strong>Item Response Theory (IRT)-?</strong></h3> <div title=""Page 39""> <div> <div> <div> <p>Item response theory distinguished itself in the historical development of testing theory by modelling <strong>individual</strong> person-item interactions rather than total test scores, as in classical test theory.</p> <h3><strong>Growth model</strong></h3> <div title=""Page 40""> <div> <div> <div> <p>Growth models apply any time a latent trait is changing systematically between measurements. Focus on cognitive ability domains.</p> <h2><strong>3. Explanation and Prediction</strong></h2> <p>Education data mining; middle space between explanatory and predictive modelling.</p> <p> </p> <p> </p> </div> </div> </div> </div> </div> </div> </div> </div> </div> </div> </div> </div> </div> </div> </div> </div> </div> </div> </div> </div> <p> </p> </div> </div> </div> </div>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NDVHMK26","bookSection","2017","Brooks, Christopher; Thompson, Craig","Predictive Modelling in Teaching and Learning","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","This article describes the process, practice, and challenges of using predictive modelling in teaching and learning. In both the  elds of educational data mining (EDM) and learning analytics (LA) predictive modelling has become a core practice of researchers, largely with a focus on predicting student success as operationalized by academic achievement. In this chapter, we provide a general overview of considerations when using predictive modelling, the steps that an educational data scientist must consider when engaging in the process, and a brief overview of the most popular techniques in the  eld.","2017","2017-09-14 16:00:49","2017-09-14 16:00:49","","61-68","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<p>Purpose:</p> <p>to create a model that will predict the values of new data based on observations.</p> <p>Predictive modelling workflow</p> <ul> <li>problem identification</li> <li>data collection</li> <li>classification and regression</li> <li>feature selection</li> <li>methods for building predictive models <ul> <li>    linear regression</li> <li>logistic regression</li> <li>nearest neighbors classifiers</li> <li>decision trees</li> <li>naive bayes classifiers</li> <li>bayesian networks</li> <li>support vector machines</li> <li>neural networks</li> <li>ensemble methods</li> </ul> </li> <li>Evaluating a Model</li> </ul> <p>Predictive analytics in practice</p> <ul> <li>supporting non-computer scientists in predictive modelling activities</li> <li>creating community-led educational data science challenge initiatives</li> <li>engaging in second order predictive modelling</li> </ul>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q8V946Z5","bookSection","2017","Prinsloo, P; Slade, S","Ethics and Learning Analytics: Charting the (Un)Charted","The Handbook of Learning Analytics","978-0-9952408-0-3","","","https://solaresearch.org/hla-17/hla17-chapter4/","","2017-03","2017-09-14 16:00:49","2017-09-14 16:00:49","","49-57","","","","","","","","","","","Society for Learning Analytics Research","Vancouver, BC","EN","","","","","","","","<h1>Chapter 4: Ethics and Learning Analytics: Charting the (Un)Charted</h1> <h2><strong>Setting the context: Why ethics is relevant</strong></h2> <p>1) potentially conflicting interests and 2) claims of a range of stakeholders (students and institutions)</p> <h2><strong>Establishing ethical principles: how far have we come?</strong></h2> <h3><em>Categories of ethical issues</em>-Slade and Prinsloo (2013)</h3> <p>1. The location and interpretation of data</p> <p>2. Informed consent, privacy, and the de-identification of data</p> <p>3. The management, classification, and storage of data</p> <h3><em>Principles</em>-Slade and Prinsloo (2013)</h3> <p>1. Learning analytics as moral practice</p> <p>2. Students as agents</p> <p>3. Student identity and perfomance as temporal dynamic constructs</p> <p>4. Student success as a complex, multidimensional phenomenon</p> <p>5. Transparency as important</p> <p>6. The higher education cannot afford not to use data-?</p> <h3><em>Six elements that could form a basis for a student-centered learning analytics:</em></h3> <p>1. Students should be able to make informed opt in/out decisions</p> <p>2. Students should know what data is collected and how it is used</p> <p>3. Students should ensure that their personal data records are complete and up to date</p> <p>4. The harvesting of data must not harm student progress</p> <p>5. Algorithmic output should be subject to human review</p> <p>6. Learning analytics essentially provides context and time-specific, provisional, incomplete pictures of students, and algorithms should be frequently reviewed and validated</p> <h2><strong>Recent Development in Ethical Frameworks</strong></h2> <p><strong>OU:</strong></p> <p>1. Learning analytics is an ethical practice that should <em>align with core organizational principles</em>.</p> <p>2. The OU has a responsibility to <em>all stakeholders</em> to use and extract meaning from student data for benefit of students where feasible</p> <p>3. Student should not be wholly defined by their visible or our interpretation of that data</p> <p>4. The purpose and the boundaries regarding the use of learning analytics should be well defined and visible</p> <p>5. transparent</p> <p>6. students should be engaged as active agents</p> <p>7. Modelling and interventions based on analysis of data should be sound and free from bias</p> <p>8. Adoption of learning analytics within OU requires broad acceptance of the values and benefits and the development of appropriate skills across the organization.</p>","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7TGZ94YG","bookSection","2017","Liu, R; Koedinger, K","Going Beyond Better Data Prediction to Create Explanatory Models of Educational Data","The Handbook of Learning Analytics","978-0-9952408-0-3","","","https://solaresearch.org/hla-17/hla17-chapter6/","","2017-03","2017-09-14 16:00:49","2017-09-14 16:00:49","","69-76","","","","","","","","","","","Society for Learning Analytics Research","Vancouver, BC","EN","","","","","","","","<p>Explanatory models of educational data</p> <p>Two types of models in EDM</p> <ul> <li>the statistical model (intelligence tutoring system)</li> <li>the cognitive model (knowledge space)</li> </ul> <p>Cognitive Model Discovery</p> <ul> <li>Data-driven Cognitive Model Improvement <ul> <li>    Learning factors analysis</li> <li>automated cognitive model discovery using SimStudent</li> </ul> </li> </ul> <p>Student Grouping</p> <p><span style=""font-size: 9.000000pt; font-family: 'Lora';"">1. those who exhibit flatter learning curves than the AFM predicts, 2) those who exhibit steeper learning curves </span></p> <p><span style=""font-size: 9.000000pt; font-family: 'Lora';"">3) those whose learning curves are on par with the model’s predictions. </span></p> <p><span style=""font-size: 9.000000pt; font-family: 'Lora';"">Building explanatory models</span></p> <p> </p> <p> </p>","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HZUZSPCP","journalArticle","2011","Gelman, A; Niemi, J","Statistical graphics: making information clear – and beautiful","Significance","","","","","","2011-09","2017-09-14 16:00:49","2017-09-14 16:00:49","","134-136","","","","","","","","","","","","","","","","","","","","","<p>1. Two key decisions:</p> <ul> <li>target audience</li> <li>what are you trying to show?</li> </ul> <p>2. guiding principles:</p> <ul> <li>avoid distracting elements</li> <li>use informative color to visually associate elements</li> <li>keep the figure simple and interpretable</li> </ul> <p>3. Small multiple plots:</p> <ul> <li>keep the x-and y-axes on the same scale</li> <li>eliminate repetitive information</li> <li>maintain consistency across plots</li> </ul> <p> </p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QEAITK4Y","journalArticle","1984","Wainer, H","How to display data badly","The American Statistician","","","","","","1984","2017-09-14 16:00:50","2017-09-14 16:00:50","","137-147","","2","38","","","","","","","","","","","","","","","","","","<p>1. Showing the Data</p> <ul> <li>show as few data as possible</li> <li>hide data: do not use grid, do not hide data in the scale? -data may disappear</li> </ul> <p>2. Showing the data accurately</p> <ul> <li>Ignore the visual metaphor altogether</li> <li>only order matters</li> <li>graph data out of context</li> </ul> <p>3. Showing data clearly</p> <ul> <li>change scales in mid-axis</li> <li>emphasize the trivial (ignore the important)</li> <li>Austria first (not objective)</li> <li>label: illegal, incomplete, incorrect and ambiguous</li> <li>more is murkier: more decimal places and more dimensions</li> <li>if it has been done well in the past, think of another way to do it.</li> </ul> <p> </p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
